gender,age_group,age,marital_status,state,zone,occupation,product_category,amount
F,18-25,22,1,Delhi,Central,Media,Stationery,21503
M,26-35,34,1,Karnataka,Southern,IT Sector,Stationery,21495
F,26-35,33,1,Delhi,Central,Agriculture,Stationery,21463
F,36-45,36,0,Delhi,Central,IT Sector,Stationery,21427
F,51-55,52,0,Delhi,Central,IT Sector,Stationery,21423
M,18-25,18,1,Delhi,Central,Construction,Stationery,21401
M,36-45,39,0,Maharashtra,Western,Healthcare,Stationery,21397
M,26-35,34,1,Delhi,Central,Agriculture,Stationery,21388
F,26-35,33,0,Maharashtra,Western,Govt,Stationery,21325
M,18-25,21,0,Delhi,Central,Automobile,Stationery,21320
F,36-45,38,1,Delhi,Central,Aviation,Stationery,21317
F,26-35,28,0,Delhi,Central,IT Sector,Stationery,21293
F,36-45,37,0,Delhi,Central,Hospitality,Stationery,21266
M,18-25,20,0,Delhi,Central,Construction,Stationery,21259
M,18-25,23,1,Kerala,Southern,Media,Stationery,21246
F,26-35,34,0,Delhi,Central,Banking,Stationery,21218
M,46-50,49,0,Andhra Pradesh,Southern,Govt,Stationery,21178
M,36-45,38,1,Karnataka,Southern,Media,Stationery,21178
F,26-35,30,0,Delhi,Central,Aviation,Stationery,21152
F,18-25,25,0,Madhya Pradesh,Central,IT Sector,Tupperware,21079
M,18-25,19,1,Maharashtra,Western,Media,Tupperware,21058
M,36-45,42,0,Delhi,Central,Hospitality,Stationery,21039
F,36-45,38,1,Gujarat,Western,Media,Tupperware,21013
F,18-25,21,1,Delhi,Central,IT Sector,Stationery,21009
M,26-35,35,0,Delhi,Central,Govt,Stationery,20981
F,18-25,24,1,Kerala,Southern,Govt,Tupperware,20967
M,51-55,52,1,Himachal Pradesh,Northern,Healthcare,Stationery,20965
F,51-55,53,1,Karnataka,Southern,Textile,Footwear & Shoes,20965
F,36-45,37,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,20963
F,26-35,28,1,Delhi,Central,IT Sector,Footwear & Shoes,20960
M,46-50,50,0,Karnataka,Southern,Banking,Footwear & Shoes,20960
F,36-45,40,0,Delhi,Central,Lawyer,Footwear & Shoes,20959
F,26-35,35,1,Madhya Pradesh,Central,Chemical,Footwear & Shoes,20955
F,36-45,45,0,Delhi,Central,Banking,Stationery,20951.5
F,26-35,35,0,Delhi,Central,Food Processing,Footwear & Shoes,20950
F,18-25,18,0,Maharashtra,Western,Aviation,Tupperware,20949
M,18-25,22,0,Delhi,Central,Automobile,Footwear & Shoes,20948
F,36-45,43,1,Delhi,Central,Aviation,Footwear & Shoes,20945
F,46-50,48,1,Karnataka,Southern,Automobile,Footwear & Shoes,20944
M,26-35,28,0,Delhi,Central,IT Sector,Stationery,20943
F,26-35,31,1,Delhi,Central,IT Sector,Footwear & Shoes,20938
F,18-25,23,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,20933
F,36-45,44,0,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,20932
F,26-35,34,0,Andhra Pradesh,Southern,Automobile,Tupperware,20930
F,46-50,46,0,Uttar Pradesh,Central,Chemical,Footwear & Shoes,20929
F,36-45,43,1,Delhi,Central,Govt,Footwear & Shoes,20928
M,18-25,21,1,Jharkhand,Eastern,Textile,Footwear & Shoes,20925
M,51-55,54,0,Delhi,Central,IT Sector,Footwear & Shoes,20920
F,26-35,34,1,Delhi,Central,Healthcare,Footwear & Shoes,20914
F,36-45,44,1,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,20914
F,26-35,29,0,Karnataka,Southern,Retail,Footwear & Shoes,20912
F,36-45,38,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20912
F,51-55,55,0,Delhi,Central,Hospitality,Footwear & Shoes,20908
F,26-35,26,1,Karnataka,Southern,Hospitality,Footwear & Shoes,20908
F,46-50,46,0,Karnataka,Southern,Retail,Footwear & Shoes,20906
M,36-45,38,0,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,20900
F,46-50,47,0,Delhi,Central,Retail,Footwear & Shoes,20896
F,26-35,35,0,Uttar Pradesh,Central,Food Processing,Stationery,20883
F,26-35,31,1,Delhi,Central,Textile,Footwear & Shoes,20875
F,26-35,26,1,Delhi,Central,IT Sector,Footwear & Shoes,20874
F,36-45,41,0,Karnataka,Southern,IT Sector,Footwear & Shoes,20874
F,36-45,42,0,Delhi,Central,IT Sector,Footwear & Shoes,20873
F,46-50,49,0,Delhi,Central,Lawyer,Footwear & Shoes,20870
F,36-45,44,0,Delhi,Central,Chemical,Stationery,20867
F,26-35,31,0,Karnataka,Southern,IT Sector,Footwear & Shoes,20865
M,26-35,31,1,Jharkhand,Eastern,IT Sector,Footwear & Shoes,20863
F,26-35,27,0,Bihar,Eastern,Automobile,Tupperware,20860
F,26-35,32,0,Karnataka,Southern,Retail,Footwear & Shoes,20855
M,55+,66,0,Uttar Pradesh,Central,Govt,Footwear & Shoes,20853
F,26-35,28,0,Delhi,Central,Aviation,Stationery,20852
F,51-55,52,0,Karnataka,Southern,Aviation,Footwear & Shoes,20850
F,18-25,19,0,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,20847
F,36-45,45,1,Delhi,Central,Construction,Footwear & Shoes,20840
M,51-55,53,1,Maharashtra,Western,Aviation,Footwear & Shoes,20837
F,36-45,36,0,Delhi,Central,Aviation,Footwear & Shoes,20833
F,36-45,41,1,Delhi,Central,Banking,Footwear & Shoes,20819
F,18-25,22,0,Uttar Pradesh,Central,Govt,Tupperware,20816
F,26-35,30,1,Karnataka,Southern,Hospitality,Footwear & Shoes,20815
M,46-50,46,1,Karnataka,Southern,Hospitality,Footwear & Shoes,20815
F,46-50,47,0,Delhi,Central,IT Sector,Footwear & Shoes,20812
F,26-35,29,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20807
F,26-35,28,0,Delhi,Central,Banking,Footwear & Shoes,20805.45
M,51-55,53,1,Gujarat,Western,Hospitality,Footwear & Shoes,20796
M,51-55,53,1,Rajasthan,Northern,Hospitality,Footwear & Shoes,20796
M,0-17,15,0,Bihar,Eastern,Healthcare,Footwear & Shoes,20788
M,36-45,40,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20783
F,26-35,35,1,Delhi,Central,Automobile,Footwear & Shoes,20770
F,26-35,33,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20767
F,36-45,40,0,Karnataka,Southern,Aviation,Footwear & Shoes,20767
F,51-55,52,0,Madhya Pradesh,Central,IT Sector,Tupperware,20757
F,26-35,27,1,Delhi,Central,Aviation,Footwear & Shoes,20752
F,36-45,45,0,Delhi,Central,IT Sector,Footwear & Shoes,20752
F,46-50,48,0,Karnataka,Southern,Aviation,Footwear & Shoes,20751
F,36-45,38,0,Uttar Pradesh,Central,Media,Footwear & Shoes,20751
F,26-35,33,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20745
F,46-50,47,1,Uttar Pradesh,Central,Banking,Footwear & Shoes,20745
F,36-45,40,1,Uttar Pradesh,Central,Media,Footwear & Shoes,20744
M,46-50,47,0,Haryana,Northern,Automobile,Tupperware,20739
M,36-45,44,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20739
F,46-50,46,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,20729
F,46-50,50,0,Delhi,Central,Aviation,Footwear & Shoes,20714
F,46-50,49,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20712
F,26-35,29,1,Uttar Pradesh,Central,Banking,Tupperware,20707
F,51-55,53,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20705
F,36-45,42,0,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,20691
M,51-55,51,1,Uttar Pradesh,Central,Aviation,Furniture,20689
F,26-35,26,1,Karnataka,Southern,Banking,Footwear & Shoes,20688
M,26-35,30,0,Maharashtra,Western,Media,Footwear & Shoes,20678
F,26-35,33,1,Karnataka,Southern,Aviation,Footwear & Shoes,20677
M,26-35,34,0,Kerala,Southern,Chemical,Furniture,20677
M,26-35,26,0,Karnataka,Southern,Retail,Footwear & Shoes,20676
F,46-50,46,0,Maharashtra,Western,Govt,Furniture,20673
F,36-45,36,1,Karnataka,Southern,Automobile,Footwear & Shoes,20669
M,26-35,26,0,Delhi,Central,Chemical,Tupperware,20668
F,46-50,50,1,Delhi,Central,Lawyer,Footwear & Shoes,20668
M,26-35,32,0,Maharashtra,Western,Food Processing,Furniture,20666
F,36-45,38,0,Karnataka,Southern,Banking,Footwear & Shoes,20665
F,36-45,41,1,Karnataka,Southern,Retail,Footwear & Shoes,20664
F,36-45,43,0,Karnataka,Southern,Automobile,Footwear & Shoes,20661
M,36-45,40,0,Delhi,Central,Food Processing,Footwear & Shoes,20660
F,26-35,26,1,Delhi,Central,IT Sector,Footwear & Shoes,20659
F,36-45,36,1,Delhi,Central,Media,Footwear & Shoes,20659
F,46-50,50,0,Karnataka,Southern,IT Sector,Tupperware,20659
F,26-35,32,0,Delhi,Central,IT Sector,Footwear & Shoes,20657
F,46-50,47,1,Delhi,Central,Hospitality,Footwear & Shoes,20654
F,51-55,51,0,Maharashtra,Western,Media,Tupperware,20644
F,36-45,36,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,20642
M,36-45,42,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,20641
F,26-35,32,1,Uttar Pradesh,Central,Retail,Footwear & Shoes,20628
M,46-50,48,0,Delhi,Central,IT Sector,Tupperware,20627
F,26-35,32,0,Uttarakhand,Central,Food Processing,Furniture,20623
M,36-45,41,0,Himachal Pradesh,Northern,Banking,Furniture,20622
F,51-55,54,0,Delhi,Central,Retail,Footwear & Shoes,20620
F,26-35,33,0,Karnataka,Southern,Chemical,Footwear & Shoes,20619
F,26-35,30,0,Karnataka,Southern,Lawyer,Footwear & Shoes,20615
F,26-35,29,0,Delhi,Central,IT Sector,Footwear & Shoes,20608
F,26-35,27,1,Uttarakhand,Central,Media,Furniture,20608
M,51-55,51,1,Haryana,Northern,Aviation,Furniture,20607
M,36-45,43,1,Karnataka,Southern,Textile,Furniture,20607
M,26-35,31,0,Maharashtra,Western,Healthcare,Tupperware,20606
M,55+,72,1,Uttar Pradesh,Central,Textile,Footwear & Shoes,20603
F,36-45,39,0,Maharashtra,Western,IT Sector,Footwear & Shoes,20602
F,26-35,31,0,Karnataka,Southern,Aviation,Footwear & Shoes,20600
M,36-45,42,1,Karnataka,Southern,Automobile,Footwear & Shoes,20600
F,36-45,40,0,Delhi,Central,IT Sector,Footwear & Shoes,20598
F,26-35,26,1,Karnataka,Southern,Chemical,Footwear & Shoes,20598
F,26-35,27,0,Kerala,Southern,IT Sector,Tupperware,20598
F,36-45,39,0,Kerala,Southern,Healthcare,Furniture,20595.99
F,18-25,25,1,Kerala,Southern,Banking,Furniture,20594
F,51-55,55,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,20589
F,26-35,29,0,Delhi,Central,Healthcare,Footwear & Shoes,20588
F,46-50,50,1,Uttar Pradesh,Central,Banking,Furniture,20588
F,26-35,30,0,Delhi,Central,Banking,Footwear & Shoes,20586
M,26-35,31,1,Madhya Pradesh,Central,Banking,Furniture,20586
F,26-35,34,1,Karnataka,Southern,Lawyer,Footwear & Shoes,20581
F,26-35,33,1,Maharashtra,Western,Chemical,Footwear & Shoes,20579
M,26-35,30,1,Karnataka,Southern,IT Sector,Furniture,20573
F,26-35,29,0,Delhi,Central,Banking,Footwear & Shoes,20572
F,46-50,49,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20570
F,26-35,34,0,Kerala,Southern,Healthcare,Furniture,20570
F,36-45,42,1,Maharashtra,Western,Govt,Tupperware,20569
M,36-45,38,1,Delhi,Central,Textile,Footwear & Shoes,20566
M,36-45,26,1,Delhi,Central,Chemical,Footwear & Shoes,20559
F,26-35,28,1,Uttar Pradesh,Central,Banking,Furniture,20558
F,36-45,40,1,Delhi,Central,Media,Footwear & Shoes,20553
M,51-55,54,0,Gujarat,Western,Construction,Furniture,20550
F,46-50,47,1,Delhi,Central,Aviation,Footwear & Shoes,20549
M,18-25,19,0,Bihar,Eastern,Aviation,Footwear & Shoes,20548
F,36-45,41,0,Delhi,Central,Govt,Footwear & Shoes,20547
M,36-45,41,0,Karnataka,Southern,Healthcare,Furniture,20546
F,18-25,24,0,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,20544
F,18-25,23,0,Kerala,Southern,Hospitality,Furniture,20543
F,18-25,25,0,Madhya Pradesh,Central,Govt,Furniture,20540
F,26-35,29,0,Delhi,Central,Media,Footwear & Shoes,20537
M,26-35,34,0,Delhi,Central,Retail,Footwear & Shoes,20536
M,26-35,29,0,Haryana,Northern,Automobile,Footwear & Shoes,20536
F,26-35,26,0,Karnataka,Southern,Aviation,Footwear & Shoes,20536
F,55+,83,1,Madhya Pradesh,Central,Govt,Furniture,20533
F,51-55,55,0,Gujarat,Western,Aviation,Tupperware,20529
F,36-45,37,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20525
F,26-35,34,1,Delhi,Central,Chemical,Footwear & Shoes,20516
M,26-35,29,1,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,20515
F,18-25,23,1,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,20512
F,51-55,51,1,Delhi,Central,Food Processing,Footwear & Shoes,20511
F,36-45,39,1,Karnataka,Southern,Media,Footwear & Shoes,20509
F,36-45,41,1,Delhi,Central,Automobile,Footwear & Shoes,20508
M,18-25,20,1,Telangana,Southern,Healthcare,Footwear & Shoes,20508
F,51-55,52,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,20508
M,51-55,53,0,Andhra Pradesh,Southern,Food Processing,Footwear & Shoes,20505
F,46-50,48,0,Delhi,Central,Aviation,Footwear & Shoes,20503
F,26-35,31,1,Karnataka,Southern,Chemical,Footwear & Shoes,20502
F,51-55,55,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20502
M,36-45,40,1,Karnataka,Southern,Banking,Footwear & Shoes,20501
F,36-45,45,0,Delhi,Central,Textile,Footwear & Shoes,20500
M,26-35,26,0,Himachal Pradesh,Northern,Aviation,Furniture,20495
M,51-55,52,0,Karnataka,Southern,Chemical,Furniture,20494
F,26-35,27,1,Karnataka,Southern,Banking,Footwear & Shoes,20493
F,26-35,35,0,Kerala,Southern,Media,Furniture,20492
F,26-35,27,0,Karnataka,Southern,Food Processing,Footwear & Shoes,20488
M,36-45,42,1,Delhi,Central,IT Sector,Footwear & Shoes,20486
F,26-35,28,1,Karnataka,Southern,Textile,Footwear & Shoes,20486
M,26-35,28,0,Delhi,Central,Chemical,Footwear & Shoes,20484
F,26-35,35,0,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,20483
F,26-35,28,0,Kerala,Southern,Retail,Tupperware,20477
F,26-35,35,1,Madhya Pradesh,Central,Aviation,Footwear & Shoes,20477
F,46-50,48,0,Delhi,Central,Banking,Footwear & Shoes,20476
F,26-35,28,0,Karnataka,Southern,IT Sector,Footwear & Shoes,20471
F,26-35,26,0,Kerala,Southern,Banking,Furniture,20469
F,18-25,21,0,Uttarakhand,Central,Govt,Furniture,20468
F,18-25,19,1,Haryana,Northern,Automobile,Tupperware,20464
M,18-25,20,0,Himachal Pradesh,Northern,Healthcare,Furniture,20463
M,18-25,25,1,Madhya Pradesh,Central,Aviation,Furniture,20457
M,36-45,39,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,20457
F,51-55,52,1,Delhi,Central,Construction,Footwear & Shoes,20454
F,18-25,20,0,Delhi,Central,Aviation,Footwear & Shoes,20450
M,51-55,52,1,Uttar Pradesh,Central,Lawyer,Furniture,20448
M,26-35,34,0,Uttar Pradesh,Central,Textile,Footwear & Shoes,20445
F,46-50,47,0,Uttar Pradesh,Central,IT Sector,Furniture,20442
M,55+,77,1,Kerala,Southern,Lawyer,Footwear & Shoes,20440
F,36-45,41,0,Karnataka,Southern,Retail,Footwear & Shoes,20438
F,18-25,24,1,Karnataka,Southern,Banking,Furniture,20433
F,26-35,27,0,Delhi,Central,Govt,Footwear & Shoes,20432
F,26-35,27,1,Uttarakhand,Central,Chemical,Furniture,20432
F,26-35,28,0,Karnataka,Southern,Chemical,Footwear & Shoes,20429
M,55+,87,0,Delhi,Central,Govt,Footwear & Shoes,20427
M,55+,79,0,Madhya Pradesh,Central,Food Processing,Footwear & Shoes,20424
M,26-35,27,0,Andhra Pradesh,Southern,Healthcare,Footwear & Shoes,20423
F,26-35,35,0,Maharashtra,Western,Banking,Footwear & Shoes,20420
M,18-25,20,0,Haryana,Northern,Healthcare,Tupperware,20413
M,36-45,26,1,Uttar Pradesh,Central,Hospitality,Furniture,20410
F,36-45,36,0,Bihar,Eastern,Retail,Furniture,20405
M,55+,71,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20405
M,46-50,47,0,Jharkhand,Eastern,Automobile,Furniture,20403
M,36-45,44,1,Haryana,Northern,Banking,Furniture,20394
F,26-35,32,1,Delhi,Central,Automobile,Footwear & Shoes,20392
F,36-45,40,0,Delhi,Central,Healthcare,Footwear & Shoes,20387
F,46-50,47,0,Maharashtra,Western,Agriculture,Footwear & Shoes,20380
F,26-35,31,0,Karnataka,Southern,Govt,Footwear & Shoes,20379
F,46-50,49,0,Delhi,Central,Healthcare,Footwear & Shoes,20375
F,26-35,34,1,Delhi,Central,Construction,Footwear & Shoes,20373
F,51-55,51,0,Karnataka,Southern,Chemical,Footwear & Shoes,20373
M,55+,88,1,Karnataka,Southern,IT Sector,Footwear & Shoes,20364
F,26-35,28,0,Karnataka,Southern,Retail,Footwear & Shoes,20363
F,26-35,29,1,Karnataka,Southern,Banking,Footwear & Shoes,20362
M,36-45,41,0,Uttar Pradesh,Central,Chemical,Furniture,20361
F,26-35,30,1,Delhi,Central,IT Sector,Footwear & Shoes,20359
F,26-35,35,0,Delhi,Central,Textile,Footwear & Shoes,20359
F,26-35,30,0,Kerala,Southern,Aviation,Furniture,20358
F,18-25,21,1,Karnataka,Southern,Aviation,Footwear & Shoes,20357
F,51-55,52,0,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,20357
M,36-45,44,0,Gujarat,Western,Automobile,Tupperware,20348
F,36-45,41,1,Madhya Pradesh,Central,Banking,Footwear & Shoes,20344
F,36-45,45,0,Karnataka,Southern,Construction,Footwear & Shoes,20342
F,36-45,40,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,20338
M,26-35,32,1,Madhya Pradesh,Central,Chemical,Furniture,20328
F,26-35,35,1,Kerala,Southern,Banking,Furniture,20323
F,26-35,31,1,Maharashtra,Western,Food Processing,Furniture,20322
F,26-35,33,1,Kerala,Southern,IT Sector,Furniture,20317
F,36-45,37,0,Delhi,Central,IT Sector,Footwear & Shoes,20315
F,36-45,37,1,Madhya Pradesh,Central,Automobile,Footwear & Shoes,20315
F,36-45,45,0,Karnataka,Southern,Banking,Footwear & Shoes,20313
M,18-25,22,1,Delhi,Central,Govt,Furniture,20312
F,26-35,32,1,Delhi,Central,Food Processing,Footwear & Shoes,20312
M,26-35,34,0,Delhi,Central,Construction,Footwear & Shoes,20312
F,51-55,53,1,Uttar Pradesh,Central,Automobile,Footwear & Shoes,20310
F,46-50,47,0,Madhya Pradesh,Central,Retail,Footwear & Shoes,20309
M,55+,58,0,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,20309
F,36-45,43,1,Delhi,Central,Construction,Footwear & Shoes,20308
F,55+,88,0,Andhra Pradesh,Southern,Chemical,Furniture,20304
F,26-35,28,1,Karnataka,Southern,Healthcare,Footwear & Shoes,20303
F,26-35,30,0,Karnataka,Southern,Banking,Footwear & Shoes,20302
F,36-45,41,1,Uttar Pradesh,Central,Aviation,Footwear & Shoes,20301
F,18-25,19,1,Delhi,Central,Aviation,Footwear & Shoes,20295
F,46-50,47,0,Delhi,Central,Banking,Footwear & Shoes,20290
F,26-35,33,0,Karnataka,Southern,Retail,Footwear & Shoes,20288
M,36-45,38,0,Delhi,Central,Chemical,Footwear & Shoes,20286
F,18-25,22,1,Haryana,Northern,Healthcare,Furniture,20285
M,36-45,41,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20285
F,26-35,31,1,Uttar Pradesh,Central,Media,Footwear & Shoes,20283
F,36-45,45,0,Delhi,Central,Automobile,Footwear & Shoes,20281
F,46-50,50,0,Haryana,Northern,IT Sector,Furniture,20280
M,36-45,43,0,Uttar Pradesh,Central,Govt,Footwear & Shoes,20279
F,55+,72,0,Andhra Pradesh,Southern,Govt,Furniture,20278
M,55+,82,0,Karnataka,Southern,Aviation,Footwear & Shoes,20278
F,36-45,43,1,Uttar Pradesh,Central,Govt,Footwear & Shoes,20276
F,36-45,41,0,Madhya Pradesh,Central,Textile,Footwear & Shoes,20275
M,36-45,36,1,Haryana,Northern,Chemical,Footwear & Shoes,20269
M,55+,87,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,20269
F,26-35,34,0,Delhi,Central,IT Sector,Footwear & Shoes,20262
F,26-35,32,0,Karnataka,Southern,Retail,Footwear & Shoes,20260
M,55+,62,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,20260
M,18-25,24,0,Andhra Pradesh,Southern,Chemical,Furniture,20258
F,26-35,29,1,Delhi,Central,Banking,Footwear & Shoes,20258
M,36-45,36,0,Madhya Pradesh,Central,Govt,Footwear & Shoes,20257
F,36-45,44,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20253
F,26-35,26,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20252
M,26-35,33,0,Karnataka,Southern,Healthcare,Footwear & Shoes,20251
F,26-35,33,1,Delhi,Central,Hospitality,Footwear & Shoes,20250
F,18-25,20,0,Haryana,Northern,IT Sector,Furniture,20246
F,55+,92,0,Uttarakhand,Central,Chemical,Furniture,20239
F,51-55,55,0,Karnataka,Southern,Banking,Footwear & Shoes,20237
F,51-55,52,0,Delhi,Central,Aviation,Footwear & Shoes,20236
F,26-35,26,0,Madhya Pradesh,Central,Media,Footwear & Shoes,20233
M,18-25,22,0,Gujarat,Western,Construction,Furniture,20232
M,26-35,35,1,Andhra Pradesh,Southern,Food Processing,Footwear & Shoes,20230
F,36-45,40,0,Karnataka,Southern,Aviation,Footwear & Shoes,20230
M,36-45,41,1,Himachal Pradesh,Northern,Construction,Furniture,20229
M,36-45,36,0,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,20227
M,36-45,45,0,Karnataka,Southern,Aviation,Footwear & Shoes,20224
M,36-45,36,0,Uttar Pradesh,Central,Chemical,Footwear & Shoes,20216
F,36-45,40,1,Uttar Pradesh,Central,Healthcare,Furniture,20212
F,26-35,26,1,Himachal Pradesh,Northern,Construction,Furniture,20211
F,46-50,47,0,Karnataka,Southern,IT Sector,Footwear & Shoes,20211
F,18-25,24,1,Delhi,Central,Hospitality,Footwear & Shoes,20210
M,26-35,29,1,Karnataka,Southern,Aviation,Footwear & Shoes,20209
M,46-50,50,0,Karnataka,Southern,IT Sector,Furniture,20208
F,51-55,51,0,Delhi,Central,Aviation,Footwear & Shoes,20207
M,26-35,34,0,Karnataka,Southern,Hospitality,Footwear & Shoes,20206
F,0-17,16,1,Uttar Pradesh,Central,Chemical,Furniture,20205
F,51-55,51,0,Madhya Pradesh,Central,Media,Furniture,20204
F,26-35,26,1,Karnataka,Southern,Media,Footwear & Shoes,20203
F,26-35,29,1,Gujarat,Western,Food Processing,Furniture,20201
M,51-55,52,1,Himachal Pradesh,Northern,Banking,Footwear & Shoes,20201
F,36-45,36,1,Delhi,Central,Automobile,Footwear & Shoes,20200
M,36-45,39,0,Haryana,Northern,Construction,Footwear & Shoes,20196
F,26-35,33,0,Delhi,Central,Aviation,Footwear & Shoes,20194
F,26-35,33,1,Karnataka,Southern,Banking,Footwear & Shoes,20192
F,18-25,24,0,Madhya Pradesh,Central,Govt,Furniture,20191
M,26-35,26,1,Uttar Pradesh,Central,Banking,Furniture,20191
M,26-35,30,0,Bihar,Eastern,Aviation,Footwear & Shoes,20189
F,46-50,49,0,Karnataka,Southern,Aviation,Footwear & Shoes,20188
F,26-35,30,0,Delhi,Central,Banking,Footwear & Shoes,20187
F,26-35,29,1,Bihar,Eastern,Chemical,Furniture,20173
